application_id,company_canonical,discovery_source_coded,discovery_source_recalled,discovery_source_resolved,basis,conflict,root_venue,interviewed
upguard|sdr-manager|c1,UpGuard,unknown,,unknown,none,no,unknown,no
valsoft|gtm-engineer-dockmaster|c1,Valsoft,unknown,,unknown,none,no,unknown,no
vercel|gtm-engineer|c1,Vercel,unknown,,unknown,none,no,unknown,no
verkada|enterprise-solutions-engineer-atlanta|c1,Verkada,unknown,,unknown,none,no,unknown,no
virtru|director-of-go-to-market-ai|c1,Virtru,unknown,,unknown,none,no,unknown,no
vitalsource|ai-enablement-lead|c1,VitalSource,unknown,,unknown,none,no,unknown,no
volley|unspecified|c1,Volley,unknown,,unknown,none,no,unknown,no
vonage|sdr-api-cpaas|c1,Vonage,unknown,,unknown,none,no,unknown,no
wallstreetquants|unspecified|c1,WallStreetQuants,unknown,,unknown,none,no,unknown,no
wealth-com|gtm-engineer|c1,Wealth.com,unknown,,unknown,none,no,unknown,no
weave|business-development-manager|c1,Weave,unknown,,unknown,none,no,unknown,no
wilsonhcg|outbound-sales-consultant-iii|c1,WilsonHCG,unknown,,unknown,none,no,unknown,no
wirescreen|partnerships-manager|c1,WireScreen,unknown,,unknown,none,no,unknown,no
wrapbook|gtm-systems-engineer|c1,Wrapbook,unknown,,unknown,none,no,unknown,no
yuno|go-to-market-engineer|c1,Yuno,unknown,,unknown,none,no,unknown,no
12100-collective|seo-lead|c1,12100 Collective,wellfound,,wellfound,coded_artifact,no,wellfound,no
airgarage|consumer-growth-hacker|c1,AirGarage,wellfound,,wellfound,coded_artifact,no,wellfound,no
ava-labs|growth-lead-core|c1,Ava Labs,wellfound,,wellfound,coded_artifact,no,wellfound,no
classet|head-of-gtm|c1,Classet,wellfound,,wellfound,coded_artifact,no,wellfound,no
fibr-ai|founding-sdr-ae|c1,Fibr AI,wellfound,,wellfound,coded_artifact,no,wellfound,no
infisical|founding-growth-marketer|c1,Infisical,wellfound,,wellfound,coded_artifact,no,wellfound,no
phrasiq|unspecified|c1,PhrasIQ,wellfound,wellfound,wellfound,coded_artifact,no,wellfound,yes
